키워드,참조 수,트랙,역량_ID,역량명
802.1x,1.0,인프라_시스템운영,IO-NET-003,Wi-Fi·무선
8pt grid,1.0,UI_UX_디자이너,UX-VIS-001,타이포·컬러·그리드
@datajpatest,1.0,백엔드,BE-TEST-002,통합 테스트
a/b test,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
a11y,2.0,프론트엔드,FE-PERF-002,접근성(a11y)
a11y,2.0,UI_UX_디자이너,UX-COL-002,접근성(a11y)
abstract,1.0,UI_UX_디자이너,UX-COL-003,Git/디자인 버전 관리
access control,1.0,인프라_시스템운영,IO-SEC-001,보안 정책·운영
accessibility,3.0,프론트엔드,FE-PERF-002,접근성(a11y)
accessibility,3.0,UI_UX_디자이너,UX-VIS-001,타이포·컬러·그리드
accessibility,3.0,UI_UX_디자이너,UX-COL-002,접근성(a11y)
acronis,1.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
active directory,1.0,인프라_시스템운영,IO-OS-002,Windows Server
ad,1.0,인프라_시스템운영,IO-OS-002,Windows Server
adapter,1.0,백엔드,BE-ARCH-003,계층화·헥사고날·클린
adobe xd,1.0,UI_UX_디자이너,UX-TOOL-002,Sketch / Adobe XD (부가)
adr,1.0,백엔드,BE-COL-003,기술 문서화
aggregate,1.0,백엔드,BE-ARCH-002,DDD (도메인 주도 설계)
aggregation,1.0,백엔드,BE-DB-005,NoSQL (MongoDB / Elasticsearch)
agile,1.0,백엔드,BE-COL-004,애자일·스크럼
ahnlab,1.0,인프라_시스템운영,IO-SEC-002,엔드포인트 보안
aks,1.0,인프라_클라우드,IC-CLOUD-002,GCP / Azure (부가)
alert,1.0,인프라_클라우드,IC-OBS-001,메트릭·모니터링
amplitude,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
amqp,1.0,백엔드,BE-MSG-002,RabbitMQ / 일반 큐
angular,1.0,프론트엔드,FE-LANG-004,Vue / Angular (부가)
ansible,1.0,인프라_클라우드,IC-IAC-002,Ansible / 설정 관리
antivirus,1.0,인프라_시스템운영,IO-SEC-002,엔드포인트 보안
aop,1.0,백엔드,BE-LANG-002,Spring Boot
ap,1.0,인프라_시스템운영,IO-NET-003,Wi-Fi·무선
api docs,1.0,백엔드,BE-API-002,API 문서화
app router,1.0,프론트엔드,FE-LANG-003,Next.js
argocd,1.0,인프라_클라우드,IC-CONT-003,GitOps / ArgoCD
aria,1.0,프론트엔드,FE-PERF-002,접근성(a11y)
assertj,1.0,백엔드,BE-TEST-001,단위 테스트
asset management,1.0,인프라_시스템운영,IO-ITAM-001,IT 자산 관리
async,2.0,백엔드,BE-LANG-006,비동기·리액티브
async,2.0,프론트엔드,FE-LANG-001,JavaScript / TypeScript
atomic design,1.0,UI_UX_디자이너,UX-DS-002,컴포넌트 체계
authentication,1.0,백엔드,BE-LANG-005,Spring Security / 인증
auto layout,1.0,UI_UX_디자이너,UX-TOOL-001,Figma
auto scaling,1.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
auto-scaling,1.0,백엔드,BE-PERF-002,부하 분산·스케일링
avif,1.0,프론트엔드,FE-PERF-003,이미지·미디어 최적화
awk,1.0,인프라_시스템운영,IO-OS-003,셸 스크립팅
aws,1.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
axios,1.0,프론트엔드,FE-STATE-003,API 통신
azure,1.0,인프라_클라우드,IC-CLOUD-002,GCP / Azure (부가)
backpressure,1.0,백엔드,BE-LANG-006,비동기·리액티브
backup,2.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
backup,2.0,인프라_시스템운영,IO-SEC-004,랜섬웨어 대응
bash,1.0,인프라_시스템운영,IO-OS-003,셸 스크립팅
bean,1.0,백엔드,BE-LANG-002,Spring Boot
bec,1.0,인프라_시스템운영,IO-SEC-003,이메일 보안·계정 탈취 대응
bem,1.0,프론트엔드,FE-STYL-001,CSS·HTML 기초
bgp,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
blue-green,2.0,백엔드,BE-OPS-002,CI/CD
blue-green,2.0,인프라_클라우드,IC-CICD-003,배포 전략
bottleneck,1.0,백엔드,BE-PERF-004,대용량 트래픽 처리
bounded context,1.0,백엔드,BE-ARCH-002,DDD (도메인 주도 설계)
branch,2.0,백엔드,BE-COL-001,Git/GitHub 흐름
branch,2.0,프론트엔드,FE-COL-003,Git/GitHub 흐름
breakpoint,1.0,UI_UX_디자이너,UX-VIS-003,반응형·다크모드
build,1.0,백엔드,BE-LANG-007,빌드·의존성 관리
bundle,1.0,프론트엔드,FE-BUILD-001,번들러 / 빌드 도구
bundle analysis,1.0,프론트엔드,FE-PERF-001,코어 웹 바이탈
cache,2.0,백엔드,BE-DB-004,Redis (캐시·세션)
cache,2.0,백엔드,BE-PERF-001,캐시 전략
cacheable,1.0,백엔드,BE-PERF-001,캐시 전략
canary,2.0,백엔드,BE-OPS-002,CI/CD
canary,2.0,인프라_클라우드,IC-CICD-003,배포 전략
card sorting,1.0,UI_UX_디자이너,UX-IA-001,IA·와이어프레임
cardinality,1.0,백엔드,BE-DB-002,쿼리 최적화
cd,2.0,백엔드,BE-OPS-002,CI/CD
cd,2.0,인프라_클라우드,IC-CICD-001,GitHub Actions
cdc,1.0,백엔드,BE-ARCH-004,이벤트 기반 아키텍처
centos,1.0,인프라_시스템운영,IO-OS-001,Linux 운영
chromatic,1.0,프론트엔드,FE-COL-002,Storybook
ci,2.0,백엔드,BE-OPS-002,CI/CD
ci,2.0,인프라_클라우드,IC-CICD-001,GitHub Actions
cisco,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
citrix,1.0,인프라_시스템운영,IO-VIRT-003,VDI / 원격 데스크톱
clean architecture,1.0,백엔드,BE-ARCH-003,계층화·헥사고날·클린
cloud run,1.0,인프라_클라우드,IC-CLOUD-002,GCP / Azure (부가)
cloudfront,1.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
cls,1.0,프론트엔드,FE-PERF-001,코어 웹 바이탈
code review,1.0,백엔드,BE-COL-002,코드 리뷰
cohort,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
color system,1.0,UI_UX_디자이너,UX-VIS-001,타이포·컬러·그리드
completablefuture,1.0,백엔드,BE-LANG-006,비동기·리액티브
component,3.0,프론트엔드,FE-STYL-003,컴포넌트 디자인
component,3.0,UI_UX_디자이너,UX-TOOL-001,Figma
component,3.0,UI_UX_디자이너,UX-DS-002,컴포넌트 체계
component catalog,1.0,프론트엔드,FE-COL-002,Storybook
compose,2.0,백엔드,BE-OPS-001,Docker / 컨테이너
compose,2.0,인프라_클라우드,IC-CONT-001,Docker
concurrency,1.0,백엔드,BE-PERF-003,동시성 제어
consumer,1.0,백엔드,BE-MSG-001,Kafka
container,2.0,백엔드,BE-OPS-001,Docker / 컨테이너
container,2.0,인프라_클라우드,IC-CONT-001,Docker
context,1.0,프론트엔드,FE-STATE-001,상태관리 라이브러리
contract test,1.0,백엔드,BE-TEST-003,E2E·계약 테스트
contrast,2.0,UI_UX_디자이너,UX-VIS-001,타이포·컬러·그리드
contrast,2.0,UI_UX_디자이너,UX-COL-002,접근성(a11y)
controlleradvice,1.0,백엔드,BE-API-003,에러 처리·예외 표준
convention,1.0,백엔드,BE-COL-002,코드 리뷰
coroutine,2.0,백엔드,BE-LANG-001,Java/Kotlin 기초
coroutine,2.0,백엔드,BE-LANG-006,비동기·리액티브
correlation,1.0,인프라_시스템운영,IO-SEC-005,SIEM·로그 분석
crowdstrike,1.0,인프라_시스템운영,IO-SEC-002,엔드포인트 보안
css,1.0,프론트엔드,FE-STYL-001,CSS·HTML 기초
css-in-js,1.0,프론트엔드,FE-STYL-002,Tailwind / CSS-in-JS
cypress,1.0,프론트엔드,FE-TEST-002,E2E 테스트
dark mode,1.0,UI_UX_디자이너,UX-VIS-003,반응형·다크모드
dast,1.0,인프라_클라우드,IC-NETSEC-003,보안 스캐닝·인증
datadog,1.0,인프라_클라우드,IC-OBS-001,메트릭·모니터링
ddd,1.0,백엔드,BE-ARCH-002,DDD (도메인 주도 설계)
ddl,2.0,백엔드,BE-DB-003,ERD·데이터 모델링
ddl,2.0,백엔드,BE-DB-006,DB 마이그레이션
deadlock,1.0,백엔드,BE-PERF-003,동시성 제어
denormalization,1.0,백엔드,BE-DB-003,ERD·데이터 모델링
dependency,1.0,백엔드,BE-LANG-007,빌드·의존성 관리
deployment,1.0,인프라_클라우드,IC-CONT-002,Kubernetes
design system,1.0,프론트엔드,FE-COL-001,디자이너 협업
design token,4.0,프론트엔드,FE-STYL-002,Tailwind / CSS-in-JS
design token,4.0,프론트엔드,FE-COL-001,디자이너 협업
design token,4.0,UI_UX_디자이너,UX-DS-001,디자인 토큰
design token,4.0,UI_UX_디자이너,UX-COL-001,개발자 협업·핸드오프
dhcp,1.0,인프라_시스템운영,IO-OS-002,Windows Server
di,1.0,백엔드,BE-LANG-002,Spring Boot
dip,1.0,백엔드,BE-ARCH-003,계층화·헥사고날·클린
distributed,1.0,백엔드,BE-ARCH-001,모놀리식 vs MSA
dkim,1.0,인프라_시스템운영,IO-SEC-003,이메일 보안·계정 탈취 대응
dlp,1.0,인프라_시스템운영,IO-SEC-002,엔드포인트 보안
dlx,1.0,백엔드,BE-MSG-002,RabbitMQ / 일반 큐
dmarc,1.0,인프라_시스템운영,IO-SEC-003,이메일 보안·계정 탈취 대응
dns,1.0,인프라_시스템운영,IO-OS-002,Windows Server
docker,2.0,백엔드,BE-OPS-001,Docker / 컨테이너
docker,2.0,인프라_클라우드,IC-CONT-001,Docker
dockerfile,2.0,백엔드,BE-OPS-001,Docker / 컨테이너
dockerfile,2.0,인프라_클라우드,IC-CONT-001,Docker
document,1.0,백엔드,BE-DB-005,NoSQL (MongoDB / Elasticsearch)
documentation,3.0,백엔드,BE-COL-003,기술 문서화
documentation,3.0,인프라_시스템운영,IO-ITAM-003,기술 지원·교육
documentation,3.0,UI_UX_디자이너,UX-DS-003,Storybook·문서화
domain,1.0,백엔드,BE-ARCH-002,DDD (도메인 주도 설계)
dr,1.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
drs,1.0,인프라_시스템운영,IO-VIRT-001,VMware ESXi / vSphere
ds,1.0,UI_UX_디자이너,UX-DS-001,디자인 토큰
dto,1.0,백엔드,BE-LANG-004,QueryDSL / 동적 쿼리
dynamic query,1.0,백엔드,BE-LANG-004,QueryDSL / 동적 쿼리
e2e,2.0,백엔드,BE-TEST-003,E2E·계약 테스트
e2e,2.0,프론트엔드,FE-TEST-002,E2E 테스트
ec2,1.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
edr,2.0,인프라_시스템운영,IO-SEC-002,엔드포인트 보안
edr,2.0,인프라_시스템운영,IO-SEC-004,랜섬웨어 대응
elasticsearch,2.0,백엔드,BE-DB-005,NoSQL (MongoDB / Elasticsearch)
elasticsearch,2.0,인프라_클라우드,IC-OBS-003,로그 수집
elk,3.0,백엔드,BE-OPS-004,구조화 로깅
elk,3.0,인프라_클라우드,IC-OBS-003,로그 수집
elk,3.0,인프라_시스템운영,IO-SEC-005,SIEM·로그 분석
email gateway,1.0,인프라_시스템운영,IO-SEC-003,이메일 보안·계정 탈취 대응
emotion,1.0,프론트엔드,FE-STYL-002,Tailwind / CSS-in-JS
entity,1.0,백엔드,BE-LANG-003,Spring Data JPA / Hibernate
erd,1.0,백엔드,BE-DB-003,ERD·데이터 모델링
error code,1.0,백엔드,BE-API-003,에러 처리·예외 표준
error handling,1.0,백엔드,BE-API-003,에러 처리·예외 표준
es6,1.0,프론트엔드,FE-LANG-001,JavaScript / TypeScript
esbuild,1.0,프론트엔드,FE-BUILD-001,번들러 / 빌드 도구
eslint,1.0,프론트엔드,FE-BUILD-002,린팅·포매팅
esxi,1.0,인프라_시스템운영,IO-VIRT-001,VMware ESXi / vSphere
event sourcing,1.0,백엔드,BE-ARCH-004,이벤트 기반 아키텍처
event storming,1.0,백엔드,BE-ARCH-002,DDD (도메인 주도 설계)
event-driven,1.0,백엔드,BE-ARCH-004,이벤트 기반 아키텍처
exactly-once,1.0,백엔드,BE-MSG-001,Kafka
exception,1.0,백엔드,BE-API-003,에러 처리·예외 표준
explain,1.0,백엔드,BE-DB-002,쿼리 최적화
fcp,1.0,프론트엔드,FE-PERF-001,코어 웹 바이탈
fetch,2.0,백엔드,BE-LANG-003,Spring Data JPA / Hibernate
fetch,2.0,프론트엔드,FE-STATE-003,API 통신
figma,2.0,프론트엔드,FE-COL-001,디자이너 협업
figma,2.0,UI_UX_디자이너,UX-TOOL-001,Figma
figma branch,1.0,UI_UX_디자이너,UX-COL-003,Git/디자인 버전 관리
figma dev mode,1.0,UI_UX_디자이너,UX-COL-001,개발자 협업·핸드오프
figma prototype,1.0,UI_UX_디자이너,UX-IA-002,프로토타이핑
filter,1.0,백엔드,BE-LANG-005,Spring Security / 인증
firewall,1.0,인프라_시스템운영,IO-NET-002,방화벽·VPN
flexbox,1.0,프론트엔드,FE-STYL-001,CSS·HTML 기초
fluentd,1.0,인프라_클라우드,IC-OBS-003,로그 수집
fluxcd,1.0,인프라_클라우드,IC-CONT-003,GitOps / ArgoCD
flyway,1.0,백엔드,BE-DB-006,DB 마이그레이션
forensic,1.0,인프라_시스템운영,IO-STOR-003,데이터 복구
form,1.0,프론트엔드,FE-STATE-002,Form 처리
formik,1.0,프론트엔드,FE-STATE-002,Form 처리
framer,1.0,UI_UX_디자이너,UX-IA-002,프로토타이핑
funnel,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
ga4,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
gcp,1.0,인프라_클라우드,IC-CLOUD-002,GCP / Azure (부가)
generic,2.0,백엔드,BE-LANG-001,Java/Kotlin 기초
generic,2.0,프론트엔드,FE-LANG-001,JavaScript / TypeScript
git,2.0,백엔드,BE-COL-001,Git/GitHub 흐름
git,2.0,프론트엔드,FE-COL-003,Git/GitHub 흐름
git flow,1.0,백엔드,BE-COL-001,Git/GitHub 흐름
github,2.0,백엔드,BE-COL-001,Git/GitHub 흐름
github,2.0,프론트엔드,FE-COL-003,Git/GitHub 흐름
github actions,2.0,백엔드,BE-OPS-002,CI/CD
github actions,2.0,인프라_클라우드,IC-CICD-001,GitHub Actions
gitops,1.0,인프라_클라우드,IC-CONT-003,GitOps / ArgoCD
glpi,1.0,인프라_시스템운영,IO-ITAM-001,IT 자산 관리
google analytics,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
gpo,1.0,인프라_시스템운영,IO-OS-002,Windows Server
gradle,1.0,백엔드,BE-LANG-007,빌드·의존성 관리
grafana,2.0,백엔드,BE-OPS-003,관측성(Observability)
grafana,2.0,인프라_클라우드,IC-OBS-001,메트릭·모니터링
graphql,1.0,백엔드,BE-API-004,GraphQL or gRPC
grep,1.0,인프라_시스템운영,IO-OS-003,셸 스크립팅
grid,2.0,프론트엔드,FE-STYL-001,CSS·HTML 기초
grid,2.0,UI_UX_디자이너,UX-VIS-001,타이포·컬러·그리드
groovy,1.0,인프라_클라우드,IC-CICD-002,Jenkins (부가)
grpc,1.0,백엔드,BE-API-004,GraphQL or gRPC
ha,1.0,인프라_시스템운영,IO-VIRT-001,VMware ESXi / vSphere
handoff,2.0,프론트엔드,FE-COL-001,디자이너 협업
handoff,2.0,UI_UX_디자이너,UX-COL-001,개발자 협업·핸드오프
headless ui,1.0,프론트엔드,FE-STYL-003,컴포넌트 디자인
helm,1.0,인프라_클라우드,IC-CONT-002,Kubernetes
helpdesk,1.0,인프라_시스템운영,IO-ITAM-002,헬프데스크·티켓 운영
heuristic evaluation,1.0,UI_UX_디자이너,UX-RSCH-002,사용성 평가
hexagonal,1.0,백엔드,BE-ARCH-003,계층화·헥사고날·클린
hibernate,1.0,백엔드,BE-LANG-003,Spring Data JPA / Hibernate
hooks,1.0,프론트엔드,FE-LANG-002,React
horizon,1.0,인프라_시스템운영,IO-VIRT-003,VDI / 원격 데스크톱
html,1.0,프론트엔드,FE-STYL-001,CSS·HTML 기초
http,1.0,백엔드,BE-API-001,REST API 설계
husky,1.0,프론트엔드,FE-BUILD-002,린팅·포매팅
hyper-v,1.0,인프라_시스템운영,IO-VIRT-002,Hyper-V / KVM
i18n,1.0,UI_UX_디자이너,UX-IA-003,UX 라이팅
ia,1.0,UI_UX_디자이너,UX-IA-001,IA·와이어프레임
iac,1.0,인프라_클라우드,IC-IAC-001,Terraform
iam,2.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
iam,2.0,인프라_클라우드,IC-NETSEC-002,IAM·시크릿
icon,1.0,UI_UX_디자이너,UX-VIS-002,아이콘·일러스트
iconography,1.0,UI_UX_디자이너,UX-VIS-002,아이콘·일러스트
idempotent,2.0,백엔드,BE-API-001,REST API 설계
idempotent,2.0,백엔드,BE-ARCH-004,이벤트 기반 아키텍처
illustration,1.0,UI_UX_디자이너,UX-VIS-002,아이콘·일러스트
illustrator,2.0,UI_UX_디자이너,UX-TOOL-002,Sketch / Adobe XD (부가)
illustrator,2.0,UI_UX_디자이너,UX-TOOL-003,Photoshop / Illustrator
image,1.0,백엔드,BE-OPS-001,Docker / 컨테이너
image optimization,1.0,프론트엔드,FE-PERF-003,이미지·미디어 최적화
immutable,1.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
incident response,1.0,인프라_시스템운영,IO-SEC-004,랜섬웨어 대응
index,2.0,백엔드,BE-DB-001,관계형 DB·SQL 기본
index,2.0,백엔드,BE-DB-002,쿼리 최적화
information architecture,1.0,UI_UX_디자이너,UX-IA-001,IA·와이어프레임
ingress,1.0,인프라_클라우드,IC-CONT-002,Kubernetes
integration test,1.0,백엔드,BE-TEST-002,통합 테스트
interceptor,1.0,프론트엔드,FE-STATE-003,API 통신
interview,1.0,UI_UX_디자이너,UX-RSCH-001,리서치 방법론
invalidation,1.0,백엔드,BE-PERF-001,캐시 전략
inventory,1.0,인프라_클라우드,IC-IAC-002,Ansible / 설정 관리
ioc,1.0,백엔드,BE-LANG-002,Spring Boot
iostat,1.0,인프라_시스템운영,IO-OS-001,Linux 운영
ipsec,1.0,인프라_시스템운영,IO-NET-002,방화벽·VPN
ir,2.0,인프라_시스템운영,IO-SEC-001,보안 정책·운영
ir,2.0,인프라_시스템운영,IO-SEC-004,랜섬웨어 대응
iscsi,1.0,인프라_시스템운영,IO-STOR-001,NAS / SAN 관리
isolation,2.0,백엔드,BE-DB-001,관계형 DB·SQL 기본
isolation,2.0,인프라_시스템운영,IO-SEC-004,랜섬웨어 대응
isr,1.0,프론트엔드,FE-LANG-003,Next.js
itam,1.0,인프라_시스템운영,IO-ITAM-001,IT 자산 관리
itil,1.0,인프라_시스템운영,IO-ITAM-002,헬프데스크·티켓 운영
itsm,1.0,인프라_시스템운영,IO-ITAM-002,헬프데스크·티켓 운영
jaeger,1.0,인프라_클라우드,IC-OBS-002,트레이싱
java,1.0,백엔드,BE-LANG-001,Java/Kotlin 기초
javascript,1.0,프론트엔드,FE-LANG-001,JavaScript / TypeScript
jdk,1.0,백엔드,BE-LANG-001,Java/Kotlin 기초
jenkins,2.0,백엔드,BE-OPS-002,CI/CD
jenkins,2.0,인프라_클라우드,IC-CICD-002,Jenkins (부가)
jest,1.0,프론트엔드,FE-TEST-001,단위 테스트
jira service management,1.0,인프라_시스템운영,IO-ITAM-002,헬프데스크·티켓 운영
join,1.0,백엔드,BE-DB-001,관계형 DB·SQL 기본
journey map,1.0,UI_UX_디자이너,UX-RSCH-001,리서치 방법론
jpa,1.0,백엔드,BE-LANG-003,Spring Data JPA / Hibernate
jpql,1.0,백엔드,BE-LANG-004,QueryDSL / 동적 쿼리
json log,1.0,백엔드,BE-OPS-004,구조화 로깅
jsx,1.0,프론트엔드,FE-LANG-002,React
junit,1.0,백엔드,BE-TEST-001,단위 테스트
jvm,1.0,백엔드,BE-LANG-001,Java/Kotlin 기초
jwt,1.0,백엔드,BE-LANG-005,Spring Security / 인증
k8s,1.0,인프라_클라우드,IC-CONT-002,Kubernetes
kafka,1.0,백엔드,BE-MSG-001,Kafka
kanban,1.0,백엔드,BE-COL-004,애자일·스크럼
keyboard nav,1.0,프론트엔드,FE-PERF-002,접근성(a11y)
kms,2.0,인프라_클라우드,IC-NETSEC-002,IAM·시크릿
kms,2.0,인프라_시스템운영,IO-ITAM-003,기술 지원·교육
kotlin,1.0,백엔드,BE-LANG-001,Java/Kotlin 기초
kubernetes,1.0,인프라_클라우드,IC-CONT-002,Kubernetes
kvm,1.0,인프라_시스템운영,IO-VIRT-002,Hyper-V / KVM
lambda,1.0,백엔드,BE-LANG-001,Java/Kotlin 기초
latency,1.0,백엔드,BE-PERF-004,대용량 트래픽 처리
layered,1.0,백엔드,BE-ARCH-003,계층화·헥사고날·클린
lazy,1.0,백엔드,BE-LANG-003,Spring Data JPA / Hibernate
lcp,1.0,프론트엔드,FE-PERF-001,코어 웹 바이탈
library,2.0,UI_UX_디자이너,UX-DS-002,컴포넌트 체계
