키워드,참조 수,트랙,역량_ID,역량명
library,2.0,UI_UX_디자이너,UX-COL-003,Git/디자인 버전 관리
libvirt,1.0,인프라_시스템운영,IO-VIRT-002,Hyper-V / KVM
license tracking,1.0,인프라_시스템운영,IO-ITAM-001,IT 자산 관리
lighthouse,1.0,프론트엔드,FE-PERF-001,코어 웹 바이탈
lint-staged,1.0,프론트엔드,FE-BUILD-002,린팅·포매팅
linux,1.0,인프라_시스템운영,IO-OS-001,Linux 운영
liquibase,1.0,백엔드,BE-DB-006,DB 마이그레이션
load balancer,2.0,백엔드,BE-PERF-002,부하 분산·스케일링
load balancer,2.0,인프라_클라우드,IC-NETSEC-001,네트워크 기초
load test,1.0,백엔드,BE-PERF-004,대용량 트래픽 처리
lock,2.0,백엔드,BE-DB-004,Redis (캐시·세션)
lock,2.0,백엔드,BE-PERF-003,동시성 제어
logback,1.0,백엔드,BE-OPS-004,구조화 로깅
logging,1.0,백엔드,BE-OPS-004,구조화 로깅
logstash,1.0,인프라_클라우드,IC-OBS-003,로그 수집
loki,2.0,백엔드,BE-OPS-004,구조화 로깅
loki,2.0,인프라_클라우드,IC-OBS-003,로그 수집
maven,1.0,백엔드,BE-LANG-007,빌드·의존성 관리
mdc,1.0,백엔드,BE-OPS-004,구조화 로깅
merge,1.0,백엔드,BE-COL-001,Git/GitHub 흐름
metrics,1.0,백엔드,BE-OPS-003,관측성(Observability)
microcopy,1.0,UI_UX_디자이너,UX-IA-003,UX 라이팅
microinteraction,1.0,UI_UX_디자이너,UX-IA-002,프로토타이핑
microservice,1.0,백엔드,BE-ARCH-001,모놀리식 vs MSA
migration,1.0,백엔드,BE-DB-006,DB 마이그레이션
mixpanel,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
mobile first,1.0,UI_UX_디자이너,UX-VIS-003,반응형·다크모드
mockito,1.0,백엔드,BE-TEST-001,단위 테스트
module,1.0,인프라_클라우드,IC-IAC-001,Terraform
mongodb,1.0,백엔드,BE-DB-005,NoSQL (MongoDB / Elasticsearch)
monolith,1.0,백엔드,BE-ARCH-001,모놀리식 vs MSA
motion,1.0,UI_UX_디자이너,UX-IA-002,프로토타이핑
msa,1.0,백엔드,BE-ARCH-001,모놀리식 vs MSA
msw,1.0,프론트엔드,FE-TEST-001,단위 테스트
multi-module,1.0,백엔드,BE-LANG-007,빌드·의존성 관리
mysql,1.0,백엔드,BE-DB-001,관계형 DB·SQL 기본
n+1,2.0,백엔드,BE-LANG-003,Spring Data JPA / Hibernate
n+1,2.0,백엔드,BE-DB-002,쿼리 최적화
nacl,1.0,인프라_클라우드,IC-NETSEC-001,네트워크 기초
nas,1.0,인프라_시스템운영,IO-STOR-001,NAS / SAN 관리
next.js,1.0,프론트엔드,FE-LANG-003,Next.js
next.js image,1.0,프론트엔드,FE-PERF-003,이미지·미디어 최적화
nfs,1.0,인프라_시스템운영,IO-STOR-001,NAS / SAN 관리
ngfw,1.0,인프라_시스템운영,IO-NET-002,방화벽·VPN
nielsen,1.0,UI_UX_디자이너,UX-RSCH-002,사용성 평가
normalization,1.0,백엔드,BE-DB-003,ERD·데이터 모델링
nosql,1.0,백엔드,BE-DB-005,NoSQL (MongoDB / Elasticsearch)
nuxt,1.0,프론트엔드,FE-LANG-004,Vue / Angular (부가)
oauth2,1.0,백엔드,BE-LANG-005,Spring Security / 인증
offsite,1.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
onboarding,1.0,인프라_시스템운영,IO-ITAM-003,기술 지원·교육
oop,1.0,백엔드,BE-LANG-001,Java/Kotlin 기초
openapi,1.0,백엔드,BE-API-002,API 문서화
opentelemetry,2.0,백엔드,BE-OPS-003,관측성(Observability)
opentelemetry,2.0,인프라_클라우드,IC-OBS-002,트레이싱
optimistic,1.0,백엔드,BE-PERF-003,동시성 제어
ospf,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
outbox,1.0,백엔드,BE-ARCH-001,모놀리식 vs MSA
owasp,1.0,인프라_클라우드,IC-NETSEC-003,보안 스캐닝·인증
pact,1.0,백엔드,BE-TEST-003,E2E·계약 테스트
pagination,1.0,백엔드,BE-LANG-004,QueryDSL / 동적 쿼리
partition,1.0,백엔드,BE-MSG-001,Kafka
patch management,1.0,인프라_시스템운영,IO-SEC-001,보안 정책·운영
performance,1.0,백엔드,BE-PERF-004,대용량 트래픽 처리
persistence,1.0,백엔드,BE-LANG-003,Spring Data JPA / Hibernate
persona,1.0,UI_UX_디자이너,UX-RSCH-001,리서치 방법론
pessimistic,1.0,백엔드,BE-PERF-003,동시성 제어
phishing,1.0,인프라_시스템운영,IO-SEC-003,이메일 보안·계정 탈취 대응
photoshop,2.0,UI_UX_디자이너,UX-TOOL-002,Sketch / Adobe XD (부가)
photoshop,2.0,UI_UX_디자이너,UX-TOOL-003,Photoshop / Illustrator
pipeline,2.0,백엔드,BE-OPS-002,CI/CD
pipeline,2.0,인프라_클라우드,IC-CICD-002,Jenkins (부가)
playbook,1.0,인프라_클라우드,IC-IAC-002,Ansible / 설정 관리
playwright,1.0,프론트엔드,FE-TEST-002,E2E 테스트
plugin,1.0,UI_UX_디자이너,UX-TOOL-001,Figma
pod,1.0,인프라_클라우드,IC-CONT-002,Kubernetes
policy,1.0,인프라_클라우드,IC-NETSEC-002,IAM·시크릿
port,1.0,백엔드,BE-ARCH-003,계층화·헥사고날·클린
postgresql,1.0,백엔드,BE-DB-001,관계형 DB·SQL 기본
powershell,1.0,인프라_시스템운영,IO-OS-003,셸 스크립팅
pr,3.0,백엔드,BE-COL-001,Git/GitHub 흐름
pr,3.0,백엔드,BE-COL-002,코드 리뷰
pr,3.0,프론트엔드,FE-COL-003,Git/GitHub 흐름
prettier,1.0,프론트엔드,FE-BUILD-002,린팅·포매팅
principle,1.0,UI_UX_디자이너,UX-IA-002,프로토타이핑
producer,1.0,백엔드,BE-MSG-001,Kafka
projection,1.0,백엔드,BE-LANG-004,QueryDSL / 동적 쿼리
prometheus,2.0,백엔드,BE-OPS-003,관측성(Observability)
prometheus,2.0,인프라_클라우드,IC-OBS-001,메트릭·모니터링
promise,1.0,프론트엔드,FE-LANG-001,JavaScript / TypeScript
protocol buffer,1.0,백엔드,BE-API-004,GraphQL or gRPC
prototype,2.0,UI_UX_디자이너,UX-TOOL-001,Figma
prototype,2.0,UI_UX_디자이너,UX-IA-002,프로토타이핑
proxmox,1.0,인프라_시스템운영,IO-VIRT-002,Hyper-V / KVM
pub/sub,2.0,백엔드,BE-DB-004,Redis (캐시·세션)
pub/sub,2.0,백엔드,BE-ARCH-004,이벤트 기반 아키텍처
qnap,1.0,인프라_시스템운영,IO-STOR-001,NAS / SAN 관리
qualitative,1.0,UI_UX_디자이너,UX-RSCH-001,리서치 방법론
quantitative,1.0,UI_UX_디자이너,UX-RSCH-001,리서치 방법론
query plan,1.0,백엔드,BE-DB-002,쿼리 최적화
querydsl,1.0,백엔드,BE-LANG-004,QueryDSL / 동적 쿼리
queue,1.0,백엔드,BE-MSG-002,RabbitMQ / 일반 큐
rabbitmq,1.0,백엔드,BE-MSG-002,RabbitMQ / 일반 큐
race condition,1.0,백엔드,BE-PERF-003,동시성 제어
radix,1.0,프론트엔드,FE-STYL-003,컴포넌트 디자인
raid,1.0,인프라_시스템운영,IO-STOR-001,NAS / SAN 관리
ransomware,1.0,인프라_시스템운영,IO-SEC-004,랜섬웨어 대응
ransomware recovery,1.0,인프라_시스템운영,IO-STOR-003,데이터 복구
raster,1.0,UI_UX_디자이너,UX-TOOL-003,Photoshop / Illustrator
rbac,1.0,백엔드,BE-LANG-005,Spring Security / 인증
rdbms,1.0,백엔드,BE-DB-001,관계형 DB·SQL 기본
rds,2.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
rds,2.0,인프라_시스템운영,IO-VIRT-003,VDI / 원격 데스크톱
react,1.0,프론트엔드,FE-LANG-002,React
react hook form,1.0,프론트엔드,FE-STATE-002,Form 처리
react query,1.0,프론트엔드,FE-STATE-001,상태관리 라이브러리
react testing library,1.0,프론트엔드,FE-TEST-001,단위 테스트
reactor,1.0,백엔드,BE-LANG-006,비동기·리액티브
readme,1.0,백엔드,BE-COL-003,기술 문서화
rebase,1.0,백엔드,BE-COL-001,Git/GitHub 흐름
recoil,1.0,프론트엔드,FE-STATE-001,상태관리 라이브러리
recovery,1.0,인프라_시스템운영,IO-STOR-003,데이터 복구
redis,1.0,백엔드,BE-DB-004,Redis (캐시·세션)
redlock,1.0,백엔드,BE-DB-004,Redis (캐시·세션)
redux,1.0,프론트엔드,FE-STATE-001,상태관리 라이브러리
repository,1.0,백엔드,BE-LANG-003,Spring Data JPA / Hibernate
responsive,2.0,프론트엔드,FE-STYL-001,CSS·HTML 기초
responsive,2.0,UI_UX_디자이너,UX-VIS-003,반응형·다크모드
rest,1.0,백엔드,BE-API-001,REST API 설계
rest assured,1.0,백엔드,BE-TEST-003,E2E·계약 테스트
restful,1.0,백엔드,BE-API-001,REST API 설계
retro,1.0,백엔드,BE-COL-004,애자일·스크럼
retry,1.0,프론트엔드,FE-STATE-003,API 통신
reusable,1.0,프론트엔드,FE-STYL-003,컴포넌트 디자인
rfc,1.0,백엔드,BE-COL-003,기술 문서화
role,2.0,인프라_클라우드,IC-IAC-002,Ansible / 설정 관리
role,2.0,인프라_클라우드,IC-NETSEC-002,IAM·시크릿
rollback,1.0,인프라_클라우드,IC-CICD-003,배포 전략
rolling,1.0,인프라_클라우드,IC-CICD-003,배포 전략
rollup,1.0,프론트엔드,FE-BUILD-001,번들러 / 빌드 도구
route table,1.0,인프라_클라우드,IC-NETSEC-001,네트워크 기초
router,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
routing,1.0,백엔드,BE-MSG-002,RabbitMQ / 일반 큐
rpo,1.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
rsc,1.0,프론트엔드,FE-LANG-003,Next.js
rtl,1.0,프론트엔드,FE-TEST-001,단위 테스트
rto,1.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
runbook,1.0,백엔드,BE-COL-003,기술 문서화
runner,1.0,인프라_클라우드,IC-CICD-001,GitHub Actions
s3,1.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
saga,1.0,백엔드,BE-ARCH-001,모놀리식 vs MSA
san,1.0,인프라_시스템운영,IO-STOR-001,NAS / SAN 관리
sast,1.0,인프라_클라우드,IC-NETSEC-003,보안 스캐닝·인증
scaling,1.0,백엔드,BE-PERF-002,부하 분산·스케일링
schema,1.0,백엔드,BE-API-004,GraphQL or gRPC
schema design,1.0,백엔드,BE-DB-003,ERD·데이터 모델링
schema version,1.0,백엔드,BE-DB-006,DB 마이그레이션
screen reader,2.0,프론트엔드,FE-PERF-002,접근성(a11y)
screen reader,2.0,UI_UX_디자이너,UX-COL-002,접근성(a11y)
scrum,1.0,백엔드,BE-COL-004,애자일·스크럼
search,1.0,백엔드,BE-DB-005,NoSQL (MongoDB / Elasticsearch)
secrets manager,1.0,인프라_클라우드,IC-NETSEC-002,IAM·시크릿
security group,1.0,인프라_클라우드,IC-NETSEC-001,네트워크 기초
sed,1.0,인프라_시스템운영,IO-OS-003,셸 스크립팅
semantic,1.0,프론트엔드,FE-STYL-001,CSS·HTML 기초
sentinelone,1.0,인프라_시스템운영,IO-SEC-002,엔드포인트 보안
server action,1.0,프론트엔드,FE-LANG-003,Next.js
server component,1.0,프론트엔드,FE-LANG-002,React
service,1.0,인프라_클라우드,IC-CONT-002,Kubernetes
shadcn/ui,1.0,프론트엔드,FE-STYL-003,컴포넌트 디자인
sharding,1.0,백엔드,BE-PERF-002,부하 분산·스케일링
shell script,1.0,인프라_시스템운영,IO-OS-003,셸 스크립팅
siem,1.0,인프라_시스템운영,IO-SEC-005,SIEM·로그 분석
sigma,1.0,인프라_시스템운영,IO-SEC-005,SIEM·로그 분석
sitemap,1.0,UI_UX_디자이너,UX-IA-001,IA·와이어프레임
sketch,2.0,UI_UX_디자이너,UX-TOOL-002,Sketch / Adobe XD (부가)
sketch,2.0,UI_UX_디자이너,UX-TOOL-003,Photoshop / Illustrator
sla,1.0,인프라_시스템운영,IO-ITAM-002,헬프데스크·티켓 운영
sli,1.0,인프라_클라우드,IC-OBS-001,메트릭·모니터링
slo,2.0,백엔드,BE-OPS-003,관측성(Observability)
slo,2.0,인프라_클라우드,IC-OBS-001,메트릭·모니터링
slow query,1.0,백엔드,BE-DB-002,쿼리 최적화
smb,1.0,인프라_시스템운영,IO-STOR-001,NAS / SAN 관리
snapshot,1.0,인프라_시스템운영,IO-STOR-003,데이터 복구
snipe-it,1.0,인프라_시스템운영,IO-ITAM-001,IT 자산 관리
snyk,1.0,인프라_클라우드,IC-NETSEC-003,보안 스캐닝·인증
spf,1.0,인프라_시스템운영,IO-SEC-003,이메일 보안·계정 탈취 대응
splunk,1.0,인프라_시스템운영,IO-SEC-005,SIEM·로그 분석
spring boot,1.0,백엔드,BE-LANG-002,Spring Boot
spring framework,1.0,백엔드,BE-LANG-002,Spring Boot
spring security,1.0,백엔드,BE-LANG-005,Spring Security / 인증
springboottest,1.0,백엔드,BE-TEST-002,통합 테스트
springdoc,1.0,백엔드,BE-API-002,API 문서화
sprint,1.0,백엔드,BE-COL-004,애자일·스크럼
sql,1.0,백엔드,BE-DB-001,관계형 DB·SQL 기본
srcset,1.0,프론트엔드,FE-PERF-003,이미지·미디어 최적화
ssg,1.0,프론트엔드,FE-LANG-003,Next.js
ssid,1.0,인프라_시스템운영,IO-NET-003,Wi-Fi·무선
ssl vpn,1.0,인프라_시스템운영,IO-NET-002,방화벽·VPN
ssr,1.0,프론트엔드,FE-LANG-003,Next.js
stampede,1.0,백엔드,BE-PERF-001,캐시 전략
starter,1.0,백엔드,BE-LANG-002,Spring Boot
state,1.0,인프라_클라우드,IC-IAC-001,Terraform
stateless,1.0,백엔드,BE-PERF-002,부하 분산·스케일링
status code,1.0,백엔드,BE-API-001,REST API 설계
storybook,5.0,프론트엔드,FE-COL-001,디자이너 협업
storybook,5.0,프론트엔드,FE-COL-002,Storybook
storybook,5.0,UI_UX_디자이너,UX-DS-002,컴포넌트 체계
storybook,5.0,UI_UX_디자이너,UX-DS-003,Storybook·문서화
storybook,5.0,UI_UX_디자이너,UX-COL-001,개발자 협업·핸드오프
stp,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
strace,1.0,인프라_시스템운영,IO-OS-001,Linux 운영
stream,2.0,백엔드,BE-LANG-001,Java/Kotlin 기초
stream,2.0,백엔드,BE-DB-004,Redis (캐시·세션)
style dictionary,1.0,UI_UX_디자이너,UX-DS-001,디자인 토큰
styled components,1.0,프론트엔드,FE-STYL-002,Tailwind / CSS-in-JS
subnet,1.0,인프라_클라우드,IC-NETSEC-001,네트워크 기초
supernova,1.0,UI_UX_디자이너,UX-DS-003,Storybook·문서화
survey,1.0,UI_UX_디자이너,UX-RSCH-001,리서치 방법론
suspense,1.0,프론트엔드,FE-LANG-002,React
svg,1.0,UI_UX_디자이너,UX-VIS-002,아이콘·일러스트
swagger,1.0,백엔드,BE-API-002,API 문서화
switch,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
swr,1.0,프론트엔드,FE-STATE-001,상태관리 라이브러리
synology,1.0,인프라_시스템운영,IO-STOR-001,NAS / SAN 관리
systemd,1.0,인프라_시스템운영,IO-OS-001,Linux 운영
tailwind,1.0,프론트엔드,FE-STYL-002,Tailwind / CSS-in-JS
tanstack query,1.0,프론트엔드,FE-STATE-001,상태관리 라이브러리
tdd,1.0,백엔드,BE-TEST-001,단위 테스트
terraform,1.0,인프라_클라우드,IC-IAC-001,Terraform
testcontainers,1.0,백엔드,BE-TEST-002,통합 테스트
theming,1.0,UI_UX_디자이너,UX-VIS-003,반응형·다크모드
think aloud,1.0,UI_UX_디자이너,UX-RSCH-002,사용성 평가
threat intelligence,1.0,인프라_시스템운영,IO-SEC-001,보안 정책·운영
throughput,1.0,백엔드,BE-PERF-004,대용량 트래픽 처리
token refresh,1.0,프론트엔드,FE-STATE-003,API 통신
top,1.0,인프라_시스템운영,IO-OS-001,Linux 운영
topic,1.0,백엔드,BE-MSG-001,Kafka
tps,1.0,백엔드,BE-PERF-004,대용량 트래픽 처리
tracing,2.0,백엔드,BE-OPS-003,관측성(Observability)
tracing,2.0,인프라_클라우드,IC-OBS-002,트레이싱
training,1.0,인프라_시스템운영,IO-ITAM-003,기술 지원·교육
transaction,1.0,백엔드,BE-DB-001,관계형 DB·SQL 기본
tree shaking,1.0,프론트엔드,FE-BUILD-001,번들러 / 빌드 도구
trivy,1.0,인프라_클라우드,IC-NETSEC-003,보안 스캐닝·인증
trunk,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
ttl,2.0,백엔드,BE-DB-004,Redis (캐시·세션)
ttl,2.0,백엔드,BE-PERF-001,캐시 전략
typescript,1.0,프론트엔드,FE-LANG-001,JavaScript / TypeScript
typography,1.0,UI_UX_디자이너,UX-VIS-001,타이포·컬러·그리드
ubuntu,1.0,인프라_시스템운영,IO-OS-001,Linux 운영
unit test,1.0,백엔드,BE-TEST-001,단위 테스트
uri,1.0,백엔드,BE-API-001,REST API 설계
usability test,1.0,UI_UX_디자이너,UX-RSCH-002,사용성 평가
useeffect,1.0,프론트엔드,FE-LANG-002,React
user flow,1.0,UI_UX_디자이너,UX-IA-001,IA·와이어프레임
user research,1.0,UI_UX_디자이너,UX-RSCH-001,리서치 방법론
usestate,1.0,프론트엔드,FE-LANG-002,React
ux writing,1.0,UI_UX_디자이너,UX-IA-003,UX 라이팅
v3,1.0,인프라_시스템운영,IO-SEC-002,엔드포인트 보안
validation,1.0,프론트엔드,FE-STATE-002,Form 처리
variables,1.0,UI_UX_디자이너,UX-DS-001,디자인 토큰
variant,1.0,UI_UX_디자이너,UX-TOOL-001,Figma
vcenter,1.0,인프라_시스템운영,IO-VIRT-001,VMware ESXi / vSphere
vdi,1.0,인프라_시스템운영,IO-VIRT-003,VDI / 원격 데스크톱
vector,1.0,UI_UX_디자이너,UX-TOOL-003,Photoshop / Illustrator
veeam,1.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
version,1.0,UI_UX_디자이너,UX-COL-003,Git/디자인 버전 관리
versioning,1.0,백엔드,BE-API-001,REST API 설계
visual regression,1.0,프론트엔드,FE-TEST-002,E2E 테스트
vite,1.0,프론트엔드,FE-BUILD-001,번들러 / 빌드 도구
vitest,1.0,프론트엔드,FE-TEST-001,단위 테스트
vlan,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
vmotion,1.0,인프라_시스템운영,IO-VIRT-001,VMware ESXi / vSphere
vmware,1.0,인프라_시스템운영,IO-VIRT-001,VMware ESXi / vSphere
voice and tone,1.0,UI_UX_디자이너,UX-IA-003,UX 라이팅
vpc,2.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
vpc,2.0,인프라_클라우드,IC-NETSEC-001,네트워크 기초
vpn,1.0,인프라_시스템운영,IO-NET-002,방화벽·VPN
vsphere,1.0,인프라_시스템운영,IO-VIRT-001,VMware ESXi / vSphere
vue,1.0,프론트엔드,FE-LANG-004,Vue / Angular (부가)
vulnerability,1.0,인프라_시스템운영,IO-SEC-001,보안 정책·운영
wazuh,1.0,인프라_시스템운영,IO-SEC-005,SIEM·로그 분석
wcag,2.0,프론트엔드,FE-PERF-002,접근성(a11y)
wcag,2.0,UI_UX_디자이너,UX-COL-002,접근성(a11y)
web vitals,1.0,프론트엔드,FE-PERF-001,코어 웹 바이탈
webflux,1.0,백엔드,BE-LANG-006,비동기·리액티브
webp,1.0,프론트엔드,FE-PERF-003,이미지·미디어 최적화
webpack,1.0,프론트엔드,FE-BUILD-001,번들러 / 빌드 도구
wi-fi,1.0,인프라_시스템운영,IO-NET-003,Wi-Fi·무선
windows server,1.0,인프라_시스템운영,IO-OS-002,Windows Server
wireframe,1.0,UI_UX_디자이너,UX-IA-001,IA·와이어프레임
wireguard,1.0,인프라_시스템운영,IO-NET-002,방화벽·VPN
wireless controller,1.0,인프라_시스템운영,IO-NET-003,Wi-Fi·무선
workflow,1.0,인프라_클라우드,IC-CICD-001,GitHub Actions
workspace,1.0,인프라_클라우드,IC-IAC-001,Terraform
wpa2,1.0,인프라_시스템운영,IO-NET-003,Wi-Fi·무선
wpa3,1.0,인프라_시스템운영,IO-NET-003,Wi-Fi·무선
yup,1.0,프론트엔드,FE-STATE-002,Form 처리
zendesk,1.0,인프라_시스템운영,IO-ITAM-002,헬프데스크·티켓 운영
zero trust,1.0,인프라_시스템운영,IO-NET-002,방화벽·VPN
zeroheight,1.0,UI_UX_디자이너,UX-DS-003,Storybook·문서화
zipkin,2.0,백엔드,BE-OPS-003,관측성(Observability)
zipkin,2.0,인프라_클라우드,IC-OBS-002,트레이싱
zod,1.0,프론트엔드,FE-STATE-002,Form 처리
zustand,1.0,프론트엔드,FE-STATE-001,상태관리 라이브러리
